	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Sample_95	4	2	0	2	2	2	0	0	2	2	0	3	1	4	1	2	6	3	6	0	0	3	2	3	1	1	1	6	1	4	1	2	1	0	2	0	2	3	4	1	3	2	3	1	5	3	2	2	0	0	0	1	1	0	2	2	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	1	1	1	0	0
Sample_194	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	2	1	1	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sample_142	2	1	0	2	2	2	0	1	1	1	0	0	2	0	1	2	3	1	0	1	1	1	0	0	0	0	0	1	3	0	0	3	0	0	2	2	1	4	7	4	1	2	4	1	3	2	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	2	1	0	0	0	2	2	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0
Sample_75	4	1	1	2	0	1	2	2	4	4	3	4	0	1	2	1	3	2	3	6	1	2	2	3	5	2	0	3	7	4	4	3	3	5	5	1	4	4	7	2	6	4	0	4	9	8	1	2	1	0	1	1	0	2	3	0	1	1	0	0	1	2	0	0	3	1	3	3	2	2	3	2	1	0	3	2	1	3	1	0	1	0	1	2	1	0	1	0	0	2	1	1	0	0	0	0
Sample_109	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	2	2	0	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Sample_47	2	2	0	2	0	3	0	2	1	2	0	1	1	1	2	1	1	2	0	0	2	0	3	1	0	3	2	2	0	1	0	4	2	0	5	3	1	3	11	5	2	1	3	1	3	1	2	1	0	1	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	2	0	1	2	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
Sample_69	2	0	2	1	2	1	0	0	5	0	0	0	17	7	0	2	35	0	0	0	3	0	0	2	6	0	1	0	50	8	10	33	15	1	2	1	18	3	5	5	15	1	0	2	73	7	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Sample_87	2	0	0	0	0	1	0	2	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	5	0	4	0	5	5	4	3	2	2	4	1	4	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Sample_168	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	1	1	2	2	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
Sample_1	3	1	2	0	3	0	0	2	2	1	0	0	9	3	4	5	22	0	0	2	2	0	1	1	5	0	1	0	26	2	3	15	15	2	12	3	18	7	9	4	10	3	3	2	48	12	14	18	1	0	0	0	0	0	0	0	0	1	3	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
Sample_96	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	1	1	0	2	2	0	1	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sample_17	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	2	1	1	0	1	3	4	1	1	1	4	0	2	2	1	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Sample_182	2	1	2	1	1	0	0	3	0	2	0	2	1	3	1	3	1	3	1	1	2	2	2	3	0	2	0	3	2	3	3	4	6	2	5	2	2	3	4	3	6	5	0	1	4	1	1	2	0	0	0	0	0	1	3	2	0	2	1	2	0	0	0	1	0	1	2	1	0	1	2	2	2	2	0	1	0	1	4	0	0	1	0	0	0	1	1	1	0	0	3	1	0	0	0	1
Sample_125	2	1	2	0	2	0	2	0	0	2	1	2	1	1	1	3	2	2	0	3	0	0	3	2	1	1	2	0	2	2	1	1	1	2	4	1	2	7	16	2	4	3	4	0	2	4	3	1	0	0	0	0	1	0	0	1	3	0	0	0	2	0	0	0	1	3	0	1	0	1	1	3	0	2	1	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Sample_164	0	0	1	1	2	1	0	2	0	2	1	0	1	2	3	0	2	1	1	0	1	0	0	0	0	0	2	0	0	1	0	1	1	1	2	1	2	4	6	5	1	1	3	2	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Sample_72	0	0	0	1	1	2	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	2	1	1	2	1	0	4	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sample_29	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	2	3	7	11	3	0	1	4	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Sample_61	2	0	1	0	1	1	0	1	1	1	0	0	0	1	1	3	0	1	0	1	0	0	0	0	2	1	0	2	0	0	0	1	4	0	3	1	2	3	10	2	0	0	3	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_131	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_59	2	3	2	2	0	0	2	0	3	3	1	0	1	6	4	2	7	0	3	3	2	2	0	0	1	2	1	0	5	1	3	7	1	1	3	3	3	2	7	2	0	2	3	0	9	3	4	0	0	0	2	0	0	1	0	1	1	0	1	0	0	2	0	0	2	0	1	1	1	1	0	0	2	1	0	1	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0
Sample_180	2	0	1	1	4	1	0	1	0	0	1	0	1	2	0	2	4	0	2	2	1	0	0	1	3	0	0	0	1	0	0	6	1	0	3	2	0	2	3	3	2	3	1	2	1	1	3	1	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0
Sample_78	3	1	0	1	2	0	1	0	2	1	0	0	0	2	1	0	4	1	0	0	1	0	1	1	2	0	0	2	0	4	0	3	0	0	2	0	0	0	3	0	0	0	0	0	3	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1
Sample_145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	2	1	0	4	4	3	1	0	0	0	1	1	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Sample_33	4	6	2	2	4	1	2	2	3	3	5	4	1	1	4	5	3	4	3	2	2	2	3	0	2	0	1	3	6	0	2	5	4	2	2	2	4	3	7	3	3	1	5	3	2	3	5	2	2	0	0	1	1	1	2	2	1	0	0	0	1	3	1	0	0	1	2	0	0	3	0	2	1	1	0	2	0	4	1	1	1	0	2	0	0	0	1	0	1	1	0	0	0	1	0	1
Sample_108	1	2	0	1	1	1	0	0	3	0	1	1	2	1	0	2	5	1	1	1	1	0	0	1	4	2	0	0	20	1	0	9	4	0	2	1	10	2	7	1	1	0	2	1	24	1	6	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
Sample_24	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	5	0	0	3	1	1	1	1	5	0	3	1	1	0	3	1	10	1	1	6	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_15	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	3	3	1	1	0	0	1	4	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sample_119	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	1	0	0	1	0	0	1	0	1	1	3	0	2	0	0	1	2	0	1	0	1	0	3	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	2	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	2	1	0	1	0	1	1
Sample_146	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	2	2	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_176	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	2	1	2	2	4	2	0	1	2	0	0	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Sample_5	0	1	1	0	3	1	0	2	2	0	2	1	2	1	1	3	6	1	2	2	1	1	0	0	1	0	0	0	4	2	1	7	3	1	4	1	2	2	1	3	1	0	0	1	5	2	0	2	0	1	1	3	0	2	0	0	0	0	1	0	0	1	0	0	1	2	1	1	2	0	2	1	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	1	0	0	1	0
Sample_60	4	2	0	0	0	0	2	0	0	1	0	1	2	2	0	2	5	3	3	0	2	0	2	0	2	3	2	1	4	2	1	3	2	0	4	0	0	3	4	2	1	0	1	1	4	2	2	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	2	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	3	2	0	3	3	1	0	0	2	1	2	0	1	0
Sample_137	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sample_42	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	2	0	5	5	3	0	1	0	3	3	3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sample_114	2	0	0	0	1	0	0	1	1	0	1	0	8	1	1	0	13	0	0	0	0	0	0	1	3	0	0	1	13	1	1	11	4	0	1	1	8	3	8	4	3	2	1	1	23	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Sample_68	3	0	1	0	1	1	1	1	4	1	1	3	6	0	1	7	13	2	1	2	1	0	1	1	6	1	0	0	28	9	4	28	5	2	3	1	8	5	5	3	3	3	4	1	51	11	11	11	1	1	2	1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	2	1	1	2	2	2	2	0	2	1	0	1	2	0	2	0	0	0	1	1	2	1	0	1	0	0	0	2
Sample_165	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2	0	0	3	0	0	4	1	5	1	1	3	0	2	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Sample_128	1	0	0	1	0	1	2	0	1	1	1	0	0	1	0	1	2	2	0	0	0	0	1	0	2	0	0	0	5	0	1	6	1	0	2	0	0	1	4	1	1	0	3	2	1	1	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0
Sample_92	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	2	0	0	1	0	0	0	1	1	1	1	0	1	1	2	2	2	1	1	1	0	1	0	1	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_127	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	2	2	3	4	1	2	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sample_86	1	1	0	0	1	5	0	1	0	2	0	3	1	1	1	2	2	1	3	2	0	0	1	0	1	3	2	1	2	3	0	2	0	1	2	1	1	2	8	1	1	0	4	1	3	0	2	4	0	0	1	0	1	1	1	1	1	1	1	2	0	1	0	0	3	2	2	0	0	0	2	2	0	1	1	0	0	2	2	0	1	0	0	1	0	1	2	1	0	0	4	0	1	0	0	2
Sample_22	0	0	0	1	0	0	0	0	0	0	1	1	3	1	0	0	4	1	0	0	1	2	1	0	0	1	0	1	3	0	3	1	1	1	2	0	1	5	2	4	2	1	2	2	3	3	1	2	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
Sample_58	2	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	2	2	3	0	0	0	0	1	1	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sample_77	2	1	2	0	1	0	2	0	0	1	4	0	3	1	1	3	0	0	1	0	1	0	3	4	2	0	1	1	2	3	0	1	0	4	2	1	2	5	1	4	2	0	1	1	7	3	1	2	1	0	1	0	1	0	1	3	0	1	1	1	0	0	2	1	1	3	2	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0
Sample_62	0	0	1	1	0	1	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	1	0	1	0	2	0	0	1	1	0	0	1	1	1	0	2	3	1	1	0	3	2	0	3	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_88	1	0	0	1	0	0	0	0	2	0	0	2	1	0	1	0	4	0	1	3	1	1	0	0	0	1	0	0	1	0	1	3	0	0	1	0	2	6	1	2	2	1	2	1	6	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Sample_173	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	3	1	2	0	0	3	5	2	1	0	0	1	1	1	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
Sample_97	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	1	1	2	4	1	0	0	2	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_160	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	4	2	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sample_154	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	2	0	1	3	1	1	1	1	1	1	3	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_18	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	3	3	2	4	0	1	2	2	3	0	4	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Sample_126	0	1	0	3	0	0	0	0	1	0	0	2	0	3	0	1	1	0	0	1	1	0	2	0	3	0	0	4	2	2	0	2	3	0	1	0	2	3	4	0	5	1	4	0	1	3	2	2	1	1	0	0	0	1	0	1	1	0	0	2	0	0	1	1	1	1	2	0	0	1	3	0	1	0	2	0	3	2	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1
