	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Sample_99	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	2	2	1	2	1	0	2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	1	1	0	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Sample_155	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	3	0	0	4	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sample_179	0	1	0	0	2	1	0	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	4	0	1	2	0	2	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sample_130	1	1	0	4	0	0	0	0	0	2	1	4	0	2	0	1	0	0	0	1	0	0	1	4	1	1	1	0	0	1	2	1	0	1	1	0	1	3	6	4	0	3	2	1	1	1	1	2	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	2	2	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
Sample_104	2	1	2	0	1	1	0	0	1	0	1	1	2	1	0	0	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	4	1	0	3	7	2	1	2	4	0	0	2	2	1	1	0	1	1	1	1	4	0	0	0	0	0	0	1	0	1	0	2	0	1	2	0	0	2	1	0	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Sample_16	0	0	1	0	0	0	0	1	0	0	0	1	0	3	2	2	0	1	0	0	1	1	1	0	2	0	1	0	1	0	0	2	2	1	1	0	0	1	6	0	2	0	4	0	0	0	4	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0
Sample_123	1	0	2	0	0	2	3	3	2	2	3	2	1	5	0	5	5	1	3	2	2	1	0	1	2	2	0	0	4	0	1	1	2	0	1	3	5	0	5	3	1	2	3	0	3	1	1	2	0	1	1	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	2	1	1	1	0	1	0	0	1	2	1	1	0	0	0	0	1	0	0	1	0	0
Sample_185	6	2	4	4	2	0	1	5	7	2	1	3	9	2	2	3	17	1	2	1	3	0	3	1	8	3	0	1	16	4	3	13	9	1	9	1	0	6	11	4	7	2	4	5	28	9	8	7	2	3	0	0	1	1	3	1	0	0	0	0	0	1	0	0	0	2	1	3	0	2	1	2	1	1	3	2	0	1	0	1	1	3	1	0	0	0	0	0	2	1	0	0	1	1	1	0
Sample_118	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	3	0	0	2	3	3	0	0	2	1	3	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Sample_143	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	3	1	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0
