2019-10-29 11:15:32 install libhogweed4:amd64 <none> 3.3-1+b2
2019-10-29 11:15:32 status half-installed libhogweed4:amd64 3.3-1+b2
2019-10-29 11:15:32 status unpacked libhogweed4:amd64 3.3-1+b2
2019-10-29 11:15:32 status unpacked libhogweed4:amd64 3.3-1+b2
2019-10-29 11:15:32 install libffi6:amd64 <none> 3.2.1-6
2019-10-29 11:15:32 status half-installed libffi6:amd64 3.2.1-6
2019-10-29 11:15:32 status unpacked libffi6:amd64 3.2.1-6
2019-10-29 11:15:32 status unpacked libffi6:amd64 3.2.1-6
2019-10-29 11:15:33 install libp11-kit0:amd64 <none> 0.23.3-2
2019-10-29 11:15:33 status half-installed libp11-kit0:amd64 0.23.3-2
2019-10-29 11:15:33 status unpacked libp11-kit0:amd64 0.23.3-2
2019-10-29 11:15:33 status unpacked libp11-kit0:amd64 0.23.3-2
2019-10-29 11:15:33 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2019-10-29 11:15:33 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2019-10-29 11:15:33 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-10-29 11:15:33 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-10-29 11:15:33 install libgnutls30:amd64 <none> 3.5.8-5+deb9u4
2019-10-29 11:15:33 status half-installed libgnutls30:amd64 3.5.8-5+deb9u4
2019-10-29 11:15:33 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2019-10-29 11:15:33 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2019-10-29 11:15:33 install libgpm2:amd64 <none> 1.20.4-6.2+b1
2019-10-29 11:15:33 status half-installed libgpm2:amd64 1.20.4-6.2+b1
2019-10-29 11:15:33 status unpacked libgpm2:amd64 1.20.4-6.2+b1
2019-10-29 11:15:33 status unpacked libgpm2:amd64 1.20.4-6.2+b1
2019-10-29 11:15:33 install libkeyutils1:amd64 <none> 1.5.9-9
2019-10-29 11:15:33 status half-installed libkeyutils1:amd64 1.5.9-9
2019-10-29 11:15:33 status unpacked libkeyutils1:amd64 1.5.9-9
2019-10-29 11:15:33 status unpacked libkeyutils1:amd64 1.5.9-9
2019-10-29 11:15:33 install libkrb5support0:amd64 <none> 1.15-1+deb9u1
2019-10-29 11:15:33 status half-installed libkrb5support0:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 install libk5crypto3:amd64 <none> 1.15-1+deb9u1
2019-10-29 11:15:34 status half-installed libk5crypto3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 install libkrb5-3:amd64 <none> 1.15-1+deb9u1
2019-10-29 11:15:34 status half-installed libkrb5-3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u1
2019-10-29 11:15:34 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2019-10-29 11:15:34 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
2019-10-29 11:15:34 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-10-29 11:15:34 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-10-29 11:15:34 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2019-10-29 11:15:34 install libwrap0:amd64 <none> 7.6.q-26
2019-10-29 11:15:34 status half-installed libwrap0:amd64 7.6.q-26
2019-10-29 11:15:35 status unpacked libwrap0:amd64 7.6.q-26
2019-10-29 11:15:35 status unpacked libwrap0:amd64 7.6.q-26
2019-10-29 11:15:35 install libicu57:amd64 <none> 57.1-6+deb9u3
2019-10-29 11:15:35 status half-installed libicu57:amd64 57.1-6+deb9u3
2019-10-29 11:15:36 status unpacked libicu57:amd64 57.1-6+deb9u3
2019-10-29 11:15:36 status unpacked libicu57:amd64 57.1-6+deb9u3
2019-10-29 11:15:36 install libxml2:amd64 <none> 2.9.4+dfsg1-2.2+deb9u2
2019-10-29 11:15:36 status half-installed libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-10-29 11:15:36 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-10-29 11:15:36 status unpacked libxml2:amd64 2.9.4+dfsg1-2.2+deb9u2
2019-10-29 11:15:36 install hicolor-icon-theme:all <none> 0.15-1
2019-10-29 11:15:36 status half-installed hicolor-icon-theme:all 0.15-1
2019-10-29 11:15:36 status unpacked hicolor-icon-theme:all 0.15-1
2019-10-29 11:15:36 status unpacked hicolor-icon-theme:all 0.15-1
2019-10-29 11:15:36 install libglib2.0-0:amd64 <none> 2.50.3-2+deb9u1
2019-10-29 11:15:36 status half-installed libglib2.0-0:amd64 2.50.3-2+deb9u1
2019-10-29 11:15:36 status unpacked libglib2.0-0:amd64 2.50.3-2+deb9u1
2019-10-29 11:15:37 status unpacked libglib2.0-0:amd64 2.50.3-2+deb9u1
2019-10-29 11:15:37 install libjpeg62-turbo:amd64 <none> 1:1.5.1-2
2019-10-29 11:15:37 status half-installed libjpeg62-turbo:amd64 1:1.5.1-2
2019-10-29 11:15:37 status unpacked libjpeg62-turbo:amd64 1:1.5.1-2
2019-10-29 11:15:37 status unpacked libjpeg62-turbo:amd64 1:1.5.1-2
2019-10-29 11:15:37 install libjbig0:amd64 <none> 2.1-3.1+b2
2019-10-29 11:15:37 status half-installed libjbig0:amd64 2.1-3.1+b2
2019-10-29 11:15:37 status unpacked libjbig0:amd64 2.1-3.1+b2
2019-10-29 11:15:37 status unpacked libjbig0:amd64 2.1-3.1+b2
2019-10-29 11:15:37 install libtiff5:amd64 <none> 4.0.8-2+deb9u4
2019-10-29 11:15:37 status half-installed libtiff5:amd64 4.0.8-2+deb9u4
2019-10-29 11:15:37 status unpacked libtiff5:amd64 4.0.8-2+deb9u4
2019-10-29 11:15:37 status unpacked libtiff5:amd64 4.0.8-2+deb9u4
2019-10-29 11:15:37 install libxdmcp6:amd64 <none> 1:1.1.2-3
2019-10-29 11:15:37 status half-installed libxdmcp6:amd64 1:1.1.2-3
2019-10-29 11:15:37 status unpacked libxdmcp6:amd64 1:1.1.2-3
2019-10-29 11:15:37 status unpacked libxdmcp6:amd64 1:1.1.2-3
2019-10-29 11:15:37 install libxcb1:amd64 <none> 1.12-1
2019-10-29 11:15:37 status half-installed libxcb1:amd64 1.12-1
2019-10-29 11:15:37 status unpacked libxcb1:amd64 1.12-1
2019-10-29 11:15:37 status unpacked libxcb1:amd64 1.12-1
2019-10-29 11:15:37 install libx11-data:all <none> 2:1.6.4-3+deb9u1
2019-10-29 11:15:37 status half-installed libx11-data:all 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 status unpacked libx11-data:all 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 status unpacked libx11-data:all 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 install libx11-6:amd64 <none> 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 status half-installed libx11-6:amd64 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 status unpacked libx11-6:amd64 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 status unpacked libx11-6:amd64 2:1.6.4-3+deb9u1
2019-10-29 11:15:38 install shared-mime-info:amd64 <none> 1.8-1+deb9u1
2019-10-29 11:15:38 status half-installed shared-mime-info:amd64 1.8-1+deb9u1
2019-10-29 11:15:38 status unpacked shared-mime-info:amd64 1.8-1+deb9u1
2019-10-29 11:15:38 status unpacked shared-mime-info:amd64 1.8-1+deb9u1
2019-10-29 11:15:38 install libgdk-pixbuf2.0-common:all <none> 2.36.5-2+deb9u2
2019-10-29 11:15:38 status half-installed libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2019-10-29 11:15:38 status unpacked libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2019-10-29 11:15:38 status unpacked libgdk-pixbuf2.0-common:all 2.36.5-2+deb9u2
2019-10-29 11:15:39 install libgdk-pixbuf2.0-0:amd64 <none> 2.36.5-2+deb9u2
2019-10-29 11:15:39 status half-installed libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2019-10-29 11:15:39 status unpacked libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2019-10-29 11:15:39 status unpacked libgdk-pixbuf2.0-0:amd64 2.36.5-2+deb9u2
2019-10-29 11:15:39 install gtk-update-icon-cache:amd64 <none> 3.22.11-1
2019-10-29 11:15:39 status half-installed gtk-update-icon-cache:amd64 3.22.11-1
